height,width,time,type,scrollX,scrollY
810,514,806.35,mouseover,0,0
810,514,806.35,mousemove,0,0
810,514,868.35,mousemove,0,0
810,514,1316.35,mousemove,0,0
810,514,1328.35,mousemove,0,0
810,514,1341.35,mousemove,0,0
810,514,1353.35,mouseout,0,0
810,514,1353.35,mouseover,0,0
810,514,1353.35,mousemove,0,0
810,514,1365.35,mousemove,0,0
810,514,1378.35,mouseout,0,0
810,514,1378.35,mouseover,0,0
810,514,1378.35,mousemove,0,0
810,514,1390.35,mousemove,0,0
810,514,1403.35,mousemove,0,0
810,514,1415.35,mouseout,0,0
810,514,1415.35,mouseover,0,0
810,514,1415.35,mousemove,0,0
810,514,1428.35,mousemove,0,0
810,514,1440.35,mousemove,0,0
810,514,1453.35,mousemove,0,0
810,514,1465.35,mousemove,0,0
810,514,1478.35,mousemove,0,0
810,514,1489.35,mousemove,0,0
810,514,1502.35,mousemove,0,0
810,514,2330.885,scroll,1,0
810,514,2346.89,scroll,3,1
810,514,2364.33,scroll,5,3
810,514,2380.425,scroll,6,6
810,514,2397.35,scroll,7,11
810,514,2413.65,scroll,9,18
810,514,2430.56,scroll,10,28
810,514,2447.16,scroll,12,43
810,514,2463.965,scroll,14,63
810,514,2481.37,scroll,16,89
810,514,2497.255,scroll,18,122
810,514,2514.22,scroll,20,161
810,514,2531.04,scroll,22,207
810,514,2547.19,scroll,24,259
810,514,2564.185,scroll,25,316
810,514,2580.625,scroll,27,376
810,514,2598.18,scroll,28,439
810,514,2614.775,scroll,30,501
810,514,2631.02,scroll,33,557
810,514,2647.53,scroll,27,602
810,514,2664.725,scroll,14,637
810,514,2680.6,scroll,5,662
810,514,2695.35,mouseout,5,662
810,514,2695.35,mouseover,5,662
810,514,2700.035,scroll,0,678
810,514,2695.35,mousemove,5,662
810,514,2708.35,mousemove,0,678
810,514,2714.15,scroll,0,684
810,514,2720.35,mousemove,0,684
810,514,2731.245,scroll,0,678
810,514,2747.635,scroll,4,663
810,514,2764.54,scroll,13,640
810,514,2781.54,scroll,22,613
810,514,2798.21,scroll,32,587
810,514,2814.73,scroll,39,565
810,514,2830.995,scroll,45,549
810,514,2848.19,scroll,49,540
810,514,2864.5,scroll,50,538
810,514,2966.175,mousemove,50,538
810,514,3031.435,scroll,52,538
810,514,3048.055,scroll,55,540
810,514,3065.235,scroll,57,544
810,514,3083.35,scroll,60,549
810,514,3098.135,scroll,62,557
810,514,3114.985,scroll,64,569
810,514,3131.51,scroll,67,587
810,514,3148.29,scroll,70,612
810,514,3165.54,scroll,74,645
810,514,3181.51,scroll,77,688
810,514,3198.545,scroll,80,740
810,514,3215.065,scroll,84,802
810,514,3231.52,scroll,87,864
810,514,3248.315,scroll,90,924
810,514,3265.01,scroll,93,979
810,514,3282.645,scroll,95,1029
810,514,3298.91,scroll,97,1073
810,514,3315.08,scroll,98,1113
810,514,3332.655,scroll,99,1147
810,514,3348.88,scroll,100,1176
810,514,3365.375,scroll,100,1200
810,514,3382.405,scroll,100,1218
810,514,3398.65,scroll,100,1231
810,514,3416.27,scroll,100,1243
810,514,3432.77,scroll,100,1253
810,514,3448.565,scroll,100,1261
810,514,3465.465,scroll,100,1269
810,514,3481.945,scroll,100,1275
810,514,3499.22,scroll,100,1282
810,514,3515.89,scroll,100,1287
810,514,3532.315,scroll,100,1293
810,514,3549.685,scroll,100,1298
810,514,3565.665,scroll,99,1302
810,514,3582.78,scroll,96,1306
810,514,3599.65,scroll,94,1311
810,514,3615.995,scroll,91,1316
810,514,3632.435,scroll,87,1321
810,514,3649.175,scroll,92,1317
810,514,3666.29,scroll,93,1316
810,514,3682.345,scroll,91,1318
810,514,3699.415,scroll,87,1318
810,514,3716.3,scroll,81,1316
810,514,3732.765,scroll,74,1310
810,514,3749.04,scroll,69,1301
810,514,3766.45,scroll,64,1288
810,514,3782.955,scroll,58,1271
810,514,3799.265,scroll,53,1251
810,514,3815.72,scroll,47,1228
810,514,3833.145,scroll,41,1203
810,514,3849.27,scroll,35,1177
810,514,3866.035,scroll,30,1151
810,514,3883.075,scroll,25,1125
810,514,3899.685,scroll,21,1099
810,514,3915.955,scroll,17,1075
810,514,3933.52,scroll,14,1052
810,514,3950.035,scroll,11,1030
810,514,3966.225,scroll,8,1009
810,514,3983.475,scroll,6,990
810,514,3999.43,scroll,5,973
810,514,4016.38,scroll,3,956
810,514,4033.43,scroll,2,942
810,514,4049.445,scroll,2,928
810,514,4066.495,scroll,1,916
810,514,4083.41,scroll,0,905
810,514,4100.23,scroll,0,896
810,514,4116.22,scroll,0,889
810,514,4133.395,scroll,0,884
810,514,4149.97,scroll,0,880
810,514,4167.14,scroll,0,878
810,514,4199.795,scroll,0,879
810,514,4216.48,scroll,0,880
810,514,4249.845,scroll,0,879
810,514,4267.455,scroll,0,877
810,514,4283.515,scroll,0,873
810,514,4300.105,scroll,0,868
810,514,4317.245,scroll,0,862
810,514,4333.28,scroll,0,855
810,514,4350.35,scroll,0,848
810,514,4366.865,scroll,0,840
810,514,4384.3,scroll,0,833
810,514,4400.62,scroll,0,827
810,514,4417.855,scroll,0,822
810,514,4434.395,scroll,0,819
810,514,4450.485,scroll,0,817
810,514,4535.35,mouseout,0,817
810,514,4535.35,mousemove,0,817
810,514,4535.35,mouseover,0,817
810,514,4547.35,mousemove,0,817
810,514,4560.35,mousemove,0,817
810,514,4572.35,mousemove,0,817
810,514,4585.35,mousemove,0,817
810,514,4597.35,mousemove,0,817
810,514,4609.35,mousemove,0,817
810,514,4622.35,mouseout,0,817
810,514,4622.35,mousemove,0,817
810,514,4622.35,mouseover,0,817
810,514,4634.35,mouseout,0,817
810,514,5480.35,mouseover,0,817
810,514,5480.35,mousemove,0,817
810,514,5492.35,mousemove,0,817
810,514,5505.35,mousemove,0,817
810,514,5517.35,mousemove,0,817
810,514,5530.35,mousemove,0,817
810,514,5542.35,mousemove,0,817
810,514,5765.35,mousedown,0,817
810,514,5778.35,mouseup,0,817
810,514,5785.67,scroll,0,835
810,514,5802.635,scroll,0,891
810,514,5819.1,scroll,0,984
810,514,5835.68,scroll,0,1108
810,514,5852.46,scroll,0,1243
810,514,5869.095,scroll,0,1365
810,514,5886.19,scroll,0,1456
810,514,5902.53,scroll,0,1509
810,514,5915.35,mousemove,0,1509
810,514,5919.48,scroll,0,1525
810,514,5927.35,mousemove,0,1525
810,514,5940.35,mousemove,0,1525
810,514,5952.35,mousemove,0,1525
810,514,5965.35,mousemove,0,1525
810,514,5977.35,mousemove,0,1525
810,514,5990.35,mousemove,0,1525
810,514,6002.35,mousemove,0,1525
810,514,6015.35,mousemove,0,1525
810,514,6027.35,mousemove,0,1525
810,514,6051.35,mousemove,0,1525
810,514,6064.35,mousemove,0,1525
810,514,6076.35,mousemove,0,1525
810,514,6139.35,mousemove,0,1525
810,514,6151.35,mousemove,0,1525
810,514,6162.35,mousemove,0,1525
810,514,6176.35,mousemove,0,1525
810,514,6187.35,mousemove,0,1525
810,514,6212.35,mousemove,0,1525
810,514,6225.35,mouseout,0,1525
810,514,6638.66,blur,0,1525
810,515,6718.585,resize,0,1525
810,518,6784.32,resize,0,1525
810,527,6824.155,resize,0,1525
810,547,6867.925,resize,0,1525
810,582,6899.19,resize,0,1525
810,651,6941.035,resize,0,1525
810,699,6980.89,resize,0,1525
810,737,7022.065,resize,0,1540
810,737,7028.865,scroll,0,1540
810,761,7068.43,resize,0,1540
810,764,7100.145,resize,0,1540
810,770,7365.735,resize,0,1540
810,902,7430.34,resize,0,1540
810,990,7478.32,resize,0,1540
810,1067,7537.335,resize,0,1540
810,1141,7581.215,resize,0,1540
810,1188,7625.13,resize,0,1540
810,1191,7672.77,resize,0,1540
810,1192,7937.11,resize,0,1540
810,1294,8008.78,resize,0,1540
810,1294,8773.35,mouseover,0,1540
810,1294,8773.35,mousemove,0,1540
810,1294,8773.35,mousemove,0,1540
810,1294,8785.35,mouseout,0,1540
810,1294,8785.35,mouseover,0,1540
810,1294,8785.35,mousemove,0,1540
810,1294,8798.35,mousemove,0,1540
810,1294,8810.35,mousemove,0,1540
810,1294,8822.35,mousemove,0,1540
810,1294,8835.35,mousemove,0,1540
810,1294,8847.35,mousemove,0,1540
810,1294,8859.35,mousemove,0,1540
810,1294,8872.35,mousemove,0,1540
810,1294,8884.35,mousemove,0,1540
810,1294,8897.35,mousemove,0,1540
810,1294,8909.35,mousemove,0,1540
810,1294,9257.655,scroll,0,1543
810,1294,9274.37,scroll,0,1548
810,1294,9291.895,scroll,0,1562
810,1294,9309.76,scroll,0,1588
810,1294,9325.57,scroll,0,1634
810,1294,9347.535,scroll,0,1713
810,1294,9359.55,scroll,0,1829
810,1294,9375.64,scroll,0,1960
810,1294,9391.9,scroll,0,2086
810,1294,9409.51,scroll,0,2193
810,1294,9425.14,scroll,0,2285
810,1294,9445.5,scroll,0,2355
810,1294,9459,scroll,0,2423
810,1294,9475.43,scroll,0,2469
810,1294,9491.74,scroll,0,2501
