height,width,time,type,scrollX,scrollY
810,1535,1336.13,mousemove,0,810
810,1535,1349.13,mouseout,0,810
810,1535,1349.13,mouseover,0,810
810,1535,1349.13,mousemove,0,810
810,1535,1362.13,mouseout,0,810
810,1535,1362.13,mouseover,0,810
810,1535,1362.13,mousemove,0,810
810,1535,1374.135,mouseout,0,810
810,1535,1374.135,mouseover,0,810
810,1535,1374.135,mousemove,0,810
810,1535,1386.13,mousemove,0,810
810,1535,1399.13,mousemove,0,810
810,1535,1411.13,mousemove,0,810
810,1535,1424.13,mousemove,0,810
810,1535,1436.13,mousemove,0,810
810,1535,1448.13,mousemove,0,810
810,1535,1461.13,mouseout,0,810
810,1535,1461.13,mouseover,0,810
810,1535,1461.13,mousemove,0,810
810,1535,1473.13,mousemove,0,810
810,1535,1486.13,mouseout,0,810
810,1535,1486.13,mousemove,0,810
810,1535,1486.13,mouseover,0,810
810,1535,1498.13,mousemove,0,810
810,1535,1511.13,mousemove,0,810
810,1535,1523.13,mousemove,0,810
810,1535,1722.13,mousemove,0,810
810,1535,1734.13,mousemove,0,810
810,1535,1746.13,mousemove,0,810
810,1535,1759.13,mousemove,0,810
810,1535,1772.13,mousemove,0,810
810,1535,1784.13,mousemove,0,810
810,1535,1796.13,mousemove,0,810
810,1535,1809.13,mousemove,0,810
810,1535,1821.13,mousemove,0,810
810,1535,1834.13,mousemove,0,810
810,1535,1846.13,mousemove,0,810
810,1535,1858.13,mousemove,0,810
810,1535,1871.13,mousemove,0,810
810,1535,1883.135,mousemove,0,810
810,1535,1896.13,mousemove,0,810
810,1535,1908.13,mousemove,0,810
810,1535,1921.13,mousemove,0,810
810,1535,1933.13,mousemove,0,810
810,1535,1945.13,mousemove,0,810
810,1535,1958.13,mousemove,0,810
810,1535,1970.13,mousemove,0,810
810,1535,1983.13,mousemove,0,810
810,1535,1995.13,mousemove,0,810
810,1535,2008.135,mousemove,0,810
810,1535,2020.13,mousemove,0,810
810,1535,2033.13,mousemove,0,810
810,1535,2045.13,mouseout,0,810
810,1535,2340.01,unload,0,810
