height,width,time,type,scrollX,scrollY
810,1535,892.355,mouseover,0,0
810,1535,892.355,mousemove,0,0
810,1535,905.355,mousemove,0,0
810,1535,917.355,mousemove,0,0
810,1535,930.355,mousemove,0,0
810,1535,942.355,mousemove,0,0
810,1535,955.355,mousemove,0,0
810,1535,967.355,mousemove,0,0
810,1535,980.355,mouseout,0,0
810,1535,980.355,mouseover,0,0
810,1535,980.355,mousemove,0,0
810,1535,992.355,mousemove,0,0
810,1535,1216.355,mousemove,0,0
810,1535,1228.355,mousemove,0,0
810,1535,1240.355,mousemove,0,0
810,1535,1253.355,mousemove,0,0
810,1535,1265.355,mousemove,0,0
810,1535,1278.355,mousemove,0,0
810,1535,1290.355,mousemove,0,0
810,1535,1327.355,mousemove,0,0
810,1535,1315.355,mousemove,0,0
810,1535,1303.355,mousemove,0,0
810,1535,1340.355,mousemove,0,0
810,1535,1353.355,mousemove,0,0
810,1535,1365.355,mouseout,0,0
810,1535,1365.355,mouseover,0,0
810,1535,1365.355,mousemove,0,0
810,1535,1379.355,mousemove,0,0
810,1535,1390.355,mousemove,0,0
810,1535,1402.355,mousemove,0,0
810,1535,1415.355,mousemove,0,0
810,1535,1427.355,mousemove,0,0
810,1535,1440.355,mousemove,0,0
810,1535,1452.355,mousemove,0,0
810,1535,1464.355,mousemove,0,0
810,1535,1477.355,mousemove,0,0
810,1535,1539.355,mousemove,0,0
810,1535,1551.355,mousemove,0,0
810,1535,1564.355,mousemove,0,0
810,1535,1577.355,mousemove,0,0
810,1535,1589.355,mousemove,0,0
810,1535,1602.355,mousemove,0,0
810,1535,1615.355,mouseout,0,0
810,1535,1615.355,mouseover,0,0
810,1535,1615.355,mousemove,0,0
810,1535,1626.355,mousemove,0,0
810,1535,1639.355,mousemove,0,0
810,1535,1651.355,mousemove,0,0
810,1535,1664.355,mousemove,0,0
810,1535,1676.355,mousemove,0,0
810,1535,1689.355,mousemove,0,0
810,1535,1701.355,mousemove,0,0
810,1535,1713.355,mousemove,0,0
810,1535,1726.355,mousemove,0,0
810,1535,1738.355,mousemove,0,0
810,1535,1751.355,mousemove,0,0
810,1535,1763.355,mousemove,0,0
810,1535,1776.355,mousemove,0,0
810,1535,1788.355,mousemove,0,0
810,1535,1800.355,mousemove,0,0
810,1535,1813.355,mousemove,0,0
810,1535,1826.355,mousemove,0,0
810,1535,1838.355,mouseout,0,0
810,1535,1838.355,mouseover,0,0
810,1535,1838.355,mousemove,0,0
810,1535,1850.355,mousemove,0,0
810,1535,1863.355,mouseout,0,0
810,1535,1863.355,mouseover,0,0
810,1535,1863.355,mousemove,0,0
810,1535,1875.355,mousemove,0,0
810,1535,1888.355,mousemove,0,0
810,1535,1900.355,mousemove,0,0
810,1535,1913.355,mousemove,0,0
810,1535,1925.355,mousemove,0,0
810,1535,1937.355,mousemove,0,0
810,1535,1950.355,mousemove,0,0
810,1535,1962.355,mousemove,0,0
810,1535,1975.355,mousemove,0,0
810,1535,1986.355,mousemove,0,0
810,1535,1998.355,mousemove,0,0
810,1535,2012.355,mousemove,0,0
810,1535,2024.355,mousemove,0,0
810,1535,2037.355,mousemove,0,0
810,1535,2049.355,mouseout,0,0
810,1535,2248.355,mouseover,0,0
810,1535,2248.355,mousemove,0,0
810,1535,2260.355,mousemove,0,0
810,1535,2272.355,mousemove,0,0
810,1535,2285.355,mousemove,0,0
810,1535,2297.355,mousemove,0,0
810,1535,2310.355,mousemove,0,0
810,1535,2322.355,mousemove,0,0
810,1535,2335.355,mousemove,0,0
810,1535,2347.355,mousemove,0,0
810,1535,2360.355,mouseout,0,0
810,1535,2360.355,mouseover,0,0
810,1535,2360.355,mousemove,0,0
810,1535,2372.355,mousemove,0,0
810,1535,2409.355,mousemove,0,0
810,1535,2422.355,mousemove,0,0
810,1535,2434.355,mousemove,0,0
810,1535,2447.355,mousemove,0,0
810,1535,2459.355,mousemove,0,0
810,1535,2472.355,mousemove,0,0
810,1535,2484.355,mouseout,0,0
810,1535,2484.355,mouseover,0,0
810,1535,2484.355,mousemove,0,0
810,1535,2496.355,mousemove,0,0
810,1535,2509.355,mousemove,0,0
810,1535,2521.355,mousemove,0,0
810,1535,2533.355,mousemove,0,0
810,1535,2546.355,mousemove,0,0
810,1535,2558.355,mousemove,0,0
810,1535,2571.355,mousemove,0,0
810,1535,2583.355,mousemove,0,0
810,1535,2596.355,mousemove,0,0
810,1535,2608.355,mousemove,0,0
810,1535,2621.355,mousemove,0,0
810,1535,2633.355,mousemove,0,0
810,1535,2646.355,mousemove,0,0
810,1535,2944.355,mousemove,0,0
810,1535,2956.355,mousemove,0,0
810,1535,2969.355,mousemove,0,0
810,1535,2981.355,mousemove,0,0
810,1535,2994.355,mousemove,0,0
810,1535,3006.355,mousemove,0,0
810,1535,3019.355,mousemove,0,0
810,1535,3031.355,mousemove,0,0
810,1535,3044.355,mousemove,0,0
810,1535,3057.355,mousemove,0,0
810,1535,3068.355,mousemove,0,0
810,1535,3081.355,mousemove,0,0
810,1535,3093.355,mousemove,0,0
810,1535,3105.355,mousemove,0,0
810,1535,3118.355,mousemove,0,0
810,1535,3130.355,mousemove,0,0
810,1535,3132.355,mousedown,0,0
810,1535,3144.105,scroll,0,5
810,1535,3181.76,scroll,0,17
810,1535,3206.515,scroll,0,23
810,1535,3218.855,scroll,0,29
810,1535,3231.58,scroll,0,40
810,1535,3255.975,scroll,0,46
810,1535,3268.94,scroll,0,52
810,1535,3282.525,scroll,0,64
810,1535,3305.595,scroll,0,75
810,1535,3318.825,scroll,0,81
810,1535,3331.965,scroll,0,93
810,1535,3355.46,scroll,0,99
810,1535,3368.155,scroll,0,110
810,1535,3381.715,scroll,0,122
810,1535,3405.245,scroll,0,134
810,1535,3417.91,scroll,0,140
810,1535,3432.17,scroll,0,157
810,1535,3454.97,scroll,0,175
810,1535,3479.84,scroll,0,186
810,1535,3492.305,scroll,0,204
810,1535,3504.67,scroll,0,215
810,1535,3517.08,scroll,0,250
810,1535,3541.86,scroll,0,268
810,1535,3554.395,scroll,0,291
810,1535,3566.925,scroll,0,338
810,1535,3591.725,scroll,0,355
810,1535,3604.31,scroll,0,373
810,1535,3616.795,scroll,0,420
810,1535,3641.485,scroll,0,443
810,1535,3653.965,scroll,0,466
810,1535,3666.47,scroll,0,519
810,1535,3691.28,scroll,0,548
810,1535,3704.06,scroll,0,571
810,1535,3716.225,scroll,0,618
810,1535,3742.12,scroll,0,641
810,1535,3753.265,scroll,0,653
810,1535,3766.67,scroll,0,682
810,1535,3790.75,scroll,0,694
810,1535,3803.035,scroll,0,700
810,1535,3816.19,scroll,0,705
810,1535,4337.755,scroll,0,717
810,1535,4351.2,scroll,0,735
810,1535,4375.135,scroll,0,740
810,1535,4387.42,scroll,0,746
810,1535,4400.26,scroll,0,758
810,1535,4424.915,scroll,0,764
810,1535,4437.825,scroll,0,770
810,1535,4451.605,scroll,0,781
810,1535,4474.56,scroll,0,787
810,1535,4499.4,scroll,0,799
810,1535,4524.27,scroll,0,805
