height,width,time,type,scrollX,scrollY
810,1535,591.55,mousemove,0,810
810,1535,591.55,mouseover,0,810
810,1535,815.55,mousemove,0,810
810,1535,827.545,mousemove,0,810
810,1535,840.545,mousemove,0,810
810,1535,853.55,mousemove,0,810
810,1535,866.55,mousemove,0,810
810,1535,878.55,mousemove,0,810
810,1535,889.545,mousemove,0,810
810,1535,902.55,mouseout,0,810
810,1535,902.55,mouseover,0,810
810,1535,902.55,mousemove,0,810
810,1535,915.55,mouseout,0,810
810,1535,915.55,mouseover,0,810
810,1535,915.55,mousemove,0,810
810,1535,927.55,mousemove,0,810
810,1535,939.55,mouseout,0,810
810,1535,939.55,mouseover,0,810
810,1535,939.55,mousemove,0,810
810,1535,952.545,mousemove,0,810
810,1535,964.55,mousemove,0,810
810,1535,977.55,mousemove,0,810
810,1535,989.55,mousemove,0,810
810,1535,1001.545,mousemove,0,810
810,1535,1014.545,mousemove,0,810
810,1535,1026.55,mousemove,0,810
810,1535,1038.55,mousemove,0,810
810,1535,1339.455,scroll,0,812
810,1535,1355.9,scroll,0,817
810,1535,1372.74,scroll,0,825
810,1535,1388.795,scroll,0,838
810,1535,1405.405,scroll,0,858
810,1535,1422.245,scroll,0,884
810,1535,1438.8,scroll,0,919
810,1535,1455.715,scroll,0,963
810,1535,1473.025,scroll,0,1015
810,1535,1488.645,scroll,0,1078
810,1535,1506.36,scroll,0,1155
810,1535,1522.23,scroll,0,1236
810,1535,1539.125,scroll,0,1324
810,1535,1555.59,scroll,0,1419
810,1535,1572.72,scroll,0,1504
810,1535,1588.915,scroll,0,1556
810,1535,1606.205,scroll,0,1573
810,1535,1622.385,scroll,0,1575
810,1535,1722.55,mouseout,0,1575
810,1535,1722.55,mouseover,0,1575
810,1535,1722.55,mousemove,0,1575
810,1535,2190.43,scroll,0,1574
810,1535,2241.125,scroll,0,1573
810,1535,2257.33,scroll,0,1575
810,1535,2273.42,scroll,0,1580
810,1535,2290.155,scroll,0,1597
810,1535,2307.13,scroll,0,1628
810,1535,2324.11,scroll,0,1692
810,1535,2340.105,scroll,0,1777
810,1535,2357.425,scroll,0,1883
810,1535,2373.425,scroll,0,1979
810,1535,2390.245,scroll,0,2067
810,1535,2408.375,scroll,0,2144
810,1535,2423.71,scroll,0,2208
810,1535,2440.13,scroll,0,2260
810,1535,2457.07,scroll,0,2298
810,1535,2474.23,scroll,0,2326
810,1535,2490.71,scroll,0,2347
810,1535,2507.15,scroll,0,2363
810,1535,2523.71,scroll,0,2377
810,1535,2540.34,scroll,0,2388
810,1535,2557.64,scroll,0,2398
810,1535,2574.725,scroll,0,2408
810,1535,2591.08,scroll,0,2416
810,1535,2607.92,scroll,0,2424
810,1535,2624.54,scroll,0,2432
810,1535,2641.26,scroll,0,2442
810,1535,2658.035,scroll,0,2458
810,1535,2673.9,scroll,0,2492
810,1535,2690.65,scroll,0,2554
810,1535,2707.905,scroll,0,2643
810,1535,2724.69,scroll,0,2760
810,1535,2741.015,scroll,0,2898
810,1535,2758.18,scroll,0,3036
810,1535,2774.295,scroll,0,3160
810,1535,2791.53,scroll,0,3267
810,1535,2807.35,scroll,0,3356
810,1535,2825.035,scroll,0,3424
810,1535,2841.12,scroll,0,3468
810,1535,2858.18,scroll,0,3498
810,1535,2875.18,scroll,0,3520
810,1535,2891.44,scroll,0,3536
810,1535,2908.395,scroll,0,3550
810,1535,2924.665,scroll,0,3561
810,1535,2941.43,scroll,0,3572
810,1535,2957.625,scroll,0,3582
810,1535,2974.565,scroll,0,3591
810,1535,2991.385,scroll,0,3601
810,1535,3008.445,scroll,0,3610
810,1535,3025.425,scroll,0,3618
810,1535,3041.94,scroll,0,3627
810,1535,3058.405,scroll,0,3639
810,1535,3075.33,scroll,0,3651
810,1535,3091.465,scroll,0,3666
810,1535,3108.235,scroll,0,3681
810,1535,3124.68,scroll,0,3696
810,1535,3141.635,scroll,0,3710
810,1535,3158.85,scroll,0,3721
810,1535,3175.71,scroll,0,3730
810,1535,3192.335,scroll,0,3736
810,1535,3208.165,scroll,0,3739
810,1535,3225.1,scroll,0,3740
810,1535,3325.2,mouseout,0,3740
810,1535,3325.2,mouseover,0,3740
810,1535,3325.2,mousemove,0,3740
810,1535,3592.37,scroll,0,3737
810,1535,3609.405,scroll,0,3728
810,1535,3625.455,scroll,0,3696
810,1535,3641.88,scroll,0,3619
810,1535,3659.075,scroll,0,3484
810,1535,3675.985,scroll,0,3319
810,1535,3692.57,scroll,0,3146
810,1535,3709.115,scroll,0,2981
810,1535,3726.235,scroll,0,2835
810,1535,3743.115,scroll,0,2710
810,1535,3759.31,scroll,0,2606
810,1535,3775.79,scroll,0,2524
810,1535,3792.545,scroll,0,2458
810,1535,3809.77,scroll,0,2403
810,1535,3825.62,scroll,0,2355
810,1535,3843.31,scroll,0,2312
810,1535,3859.04,scroll,0,2273
810,1535,3876.3,scroll,0,2237
810,1535,3892.865,scroll,0,2203
810,1535,3910.14,scroll,0,2170
810,1535,3926.09,scroll,0,2138
810,1535,3942.93,scroll,0,2106
810,1535,3959.23,scroll,0,2073
810,1535,3976.74,scroll,0,2039
810,1535,3993.605,scroll,0,2007
810,1535,4010.04,scroll,0,1977
810,1535,4026.89,scroll,0,1952
810,1535,4043.605,scroll,0,1929
810,1535,4059.44,scroll,0,1907
810,1535,4076.25,scroll,0,1881
810,1535,4093.91,scroll,0,1830
810,1535,4110.415,scroll,0,1739
810,1535,4126.32,scroll,0,1619
810,1535,4143.735,scroll,0,1473
810,1535,4160.235,scroll,0,1305
810,1535,4177.035,scroll,0,1132
810,1535,4193.055,scroll,0,967
810,1535,4210.41,scroll,0,823
810,1535,4226.52,scroll,0,701
810,1535,4243.265,scroll,0,601
810,1535,4259.9,scroll,0,524
810,1535,4276.64,scroll,0,463
810,1535,4293.155,scroll,0,422
810,1535,4309.675,scroll,0,386
810,1535,4326.83,scroll,0,356
810,1535,4344.08,scroll,0,328
810,1535,4360,scroll,0,302
810,1535,4370.55,mouseout,0,302
810,1535,4370.55,mouseover,0,302
810,1535,4370.55,mousemove,0,302
810,1535,4376.435,scroll,0,278
810,1535,4383.55,mousemove,0,278
810,1535,4393.63,scroll,0,256
810,1535,4408.55,mouseout,0,256
810,1535,4408.55,mouseover,0,256
810,1535,4408.55,mousemove,0,256
810,1535,4411.63,scroll,0,237
810,1535,4420.55,mousemove,0,237
810,1535,4426.735,scroll,0,221
810,1535,4433.55,mousemove,0,221
810,1535,4444.66,scroll,0,209
810,1535,4445.55,mousemove,0,209
810,1535,4458.55,mouseout,0,209
810,1535,4458.55,mouseover,0,209
810,1535,4458.55,mousemove,0,209
810,1535,4460.265,scroll,0,201
810,1535,4469.55,mousemove,0,201
810,1535,4477.59,scroll,0,195
810,1535,4482.55,mouseout,0,195
810,1535,4482.55,mouseover,0,195
810,1535,4482.55,mousemove,0,195
810,1535,4493.4,scroll,0,192
810,1535,4494.55,mousemove,0,192
810,1535,4507.55,mouseout,0,192
810,1535,4507.55,mouseover,0,192
810,1535,4507.55,mousemove,0,192
810,1535,4512.1,scroll,0,191
810,1535,4519.545,mousemove,0,191
810,1535,4532.545,mousemove,0,191
810,1535,4544.55,mousemove,0,191
810,1535,4557.55,mousemove,0,191
810,1535,4569.55,mousemove,0,191
810,1535,4582.55,mousemove,0,191
810,1535,4594.55,mousemove,0,191
810,1535,4606.55,mouseout,0,191
810,1535,4606.55,mouseover,0,191
810,1535,4606.55,mousemove,0,191
810,1535,4619.55,mousemove,0,191
810,1535,4631.55,mousemove,0,191
810,1535,4644.545,mousemove,0,191
810,1535,4656.55,mouseout,0,191
810,1535,4656.55,mouseover,0,191
810,1535,4656.55,mousemove,0,191
810,1535,4668.55,mousemove,0,191
810,1535,4681.55,mousemove,0,191
810,1535,4693.545,mouseout,0,191
810,1535,4693.545,mouseover,0,191
810,1535,4693.545,mousemove,0,191
810,1535,4706.545,mousemove,0,191
810,1535,4718.55,mousemove,0,191
810,1535,4730.55,mousemove,0,191
810,1535,4743.55,mousemove,0,191
810,1535,4755.545,mousemove,0,191
810,1535,4768.55,mousemove,0,191
810,1535,4780.55,mousemove,0,191
810,1535,4793.55,mousemove,0,191
810,1535,4805.55,mousemove,0,191
810,1535,4817.55,mousemove,0,191
810,1535,4830.55,mouseout,0,191
810,1535,4830.55,mouseover,0,191
810,1535,4830.55,mousemove,0,191
810,1535,4842.55,mousemove,0,191
810,1535,4855.55,mousemove,0,191
810,1535,4867.545,mousemove,0,191
810,1535,4880.545,mousemove,0,191
810,1535,4892.55,mousemove,0,191
810,1535,4905.55,mousemove,0,191
810,1535,4917.55,mousemove,0,191
810,1535,4930.55,mousemove,0,191
810,1535,4942.55,mousemove,0,191
810,1535,4954.55,mousemove,0,191
810,1535,4967.55,mousemove,0,191
810,1535,4979.55,mousemove,0,191
810,1535,4992.545,mousemove,0,191
810,1535,5004.55,mousemove,0,191
810,1535,5016.55,mousemove,0,191
810,1535,5029.55,mousemove,0,191
810,1535,5041.545,mousemove,0,191
810,1535,5054.55,mousemove,0,191
810,1535,5066.55,mousemove,0,191
810,1535,5079.55,mousemove,0,191
810,1535,5091.55,mousemove,0,191
810,1535,5103.55,mousemove,0,191
810,1535,5116.55,mousemove,0,191
810,1535,5128.55,mousemove,0,191
810,1535,5141.55,mousemove,0,191
810,1535,5166.545,mousemove,0,191
810,1535,5178.55,mousemove,0,191
810,1535,5328.55,mousedown,0,191
810,1535,5352.55,mouseup,0,191
810,1535,5352.55,click,0,191
810,1535,5526.55,mousemove,0,191
810,1535,5539.55,mousemove,0,191
810,1535,5551.55,mousemove,0,191
810,1535,5564.55,mouseout,0,191
810,1535,5564.55,mouseover,0,191
810,1535,5564.55,mousemove,0,191
810,1535,5576.55,mousemove,0,191
810,1535,5589.55,mousemove,0,191
810,1535,5601.55,mousemove,0,191
810,1535,5762.55,mousedown,0,191
810,1535,5766.2,focusin,0,191
810,1535,5811.55,mouseup,0,191
810,1535,5843.55,mousedown,0,195
810,1535,5832.435,scroll,0,195
810,1535,5858.3,scroll,0,207
810,1535,5886.155,scroll,0,217
810,1535,5897.91,scroll,0,238
810,1535,5923.265,scroll,0,252
810,1535,5943.545,mouseup,0,268
810,1535,5945.94,dblclick,0,268
810,1535,5936.29,scroll,0,268
810,1535,5949.27,scroll,0,305
810,1535,5975.34,scroll,0,326
810,1535,5988.315,scroll,0,348
810,1535,6001.35,scroll,0,372
810,1535,6014.36,scroll,0,425
810,1535,6040.325,scroll,0,454
810,1535,6053.315,scroll,0,484
810,1535,6067.05,scroll,0,549
810,1535,6092.33,scroll,0,583
810,1535,6105.34,scroll,0,618
810,1535,6118.3,scroll,0,655
810,1535,6131.28,scroll,0,731
810,1535,6157.295,scroll,0,771
810,1535,6170.385,scroll,0,811
810,1535,6184.09,scroll,0,895
810,1535,6209.41,scroll,0,937
810,1535,6222.345,scroll,0,981
810,1535,6235.375,scroll,0,1025
810,1535,6249.27,scroll,0,1114
810,1535,6274.38,scroll,0,1159
810,1535,6287.42,scroll,0,1205
810,1535,6300.295,scroll,0,1250
810,1535,6315.23,scroll,0,1342
810,1535,6339.38,scroll,0,1387
810,1535,6352.345,scroll,0,1433
810,1535,6365.295,scroll,0,1523
810,1535,6391.45,scroll,0,1568
810,1535,6404.35,scroll,0,1612
810,1535,6417.315,scroll,0,1699
810,1535,6443.405,scroll,0,1742
810,1535,6456.315,scroll,0,1783
810,1535,6469.385,scroll,0,1824
810,1535,6482.315,scroll,0,1904
810,1535,6508.55,mousemove,0,1942
810,1535,6508.38,scroll,0,1942
810,1535,6520.55,mousemove,0,1979
810,1535,6521.35,scroll,0,1979
810,1535,6533.55,mouseout,0,2015
810,1535,6533.55,mouseover,0,2015
810,1535,6533.55,mousemove,0,2015
810,1535,6546.55,mousemove,0,2050
810,1535,6534.375,scroll,0,2050
810,1535,6558.55,mousemove,0,2050
810,1535,6560.275,scroll,0,2084
810,1535,6571.55,mouseout,0,2084
810,1535,6571.55,mouseover,0,2084
810,1535,6571.55,mousemove,0,2084
810,1535,6573.275,scroll,0,2116
810,1535,6583.55,mousemove,0,2116
810,1535,6586.365,scroll,0,2147
810,1535,6595.55,mousemove,0,2147
810,1535,6608.545,mousemove,0,2177
810,1535,6599.26,scroll,0,2205
810,1535,6620.55,mouseout,0,2205
810,1535,6620.55,mouseover,0,2205
810,1535,6620.55,mousemove,0,2205
810,1535,6625.36,scroll,0,2232
810,1535,6633.55,mousemove,0,2232
810,1535,6645.55,mouseout,0,2257
810,1535,6645.55,mouseover,0,2257
810,1535,6645.55,mousemove,0,2257
810,1535,6638.4,scroll,0,2257
810,1535,6658.55,mousemove,0,2281
810,1535,6651.3,scroll,0,2281
810,1535,6670.55,mouseout,0,2304
810,1535,6670.55,mouseover,0,2304
810,1535,6670.55,mousemove,0,2304
810,1535,6665.355,scroll,0,2323
810,1535,6682.55,mouseout,0,2323
810,1535,6682.55,mouseover,0,2323
810,1535,6682.55,mousemove,0,2323
810,1535,6695.55,mousemove,0,2342
810,1535,6690.345,scroll,0,2342
810,1535,6703.34,scroll,0,2358
810,1535,6716.32,scroll,0,2387
810,1535,6742.42,scroll,0,2399
810,1535,6755.415,scroll,0,2408
810,1535,6768.37,scroll,0,2416
810,1535,6783.145,scroll,0,2427
810,1535,6807.41,scroll,0,2429
810,1535,6821.15,scroll,0,2430
810,1535,6921.295,mousemove,0,2430
810,1535,7014.49,scroll,0,2431
810,1535,7016.575,scroll,0,2433
810,1535,7041.53,scroll,0,2460
810,1535,7067.39,scroll,0,2540
810,1535,7106.465,scroll,0,2552
810,1535,7120.1,scroll,0,2634
810,1535,7133.525,scroll,0,2645
810,1535,7158.46,scroll,0,2724
810,1535,7171.375,scroll,0,2731
810,1535,7184.355,scroll,0,2808
810,1535,7210.47,scroll,0,2814
810,1535,7223.425,scroll,0,2876
810,1535,7236.45,scroll,0,2851
810,1535,7250.125,scroll,0,2885
810,1535,7275.465,scroll,0,2851
810,1535,7288.48,scroll,0,2430
810,1535,7388.63,mousemove,0,2430
810,1535,7553.55,mousemove,0,2430
810,1535,7566.55,mousemove,0,2430
810,1535,7578.55,mousemove,0,2430
810,1535,7590.545,mousemove,0,2430
810,1535,7603.55,mousemove,0,2430
810,1535,7615.55,mousemove,0,2430
810,1535,7628.55,mousemove,0,2430
810,1535,7640.55,mousemove,0,2430
810,1535,7653.545,mousemove,0,2430
810,1535,7666.545,mousemove,0,2430
810,1535,7677.55,mousemove,0,2430
810,1535,7690.55,mousemove,0,2430
810,1535,7702.545,mousemove,0,2430
810,1535,7715.545,mousemove,0,2430
810,1535,7727.55,mousemove,0,2430
810,1535,7740.55,mousemove,0,2430
810,1535,7752.55,mousemove,0,2430
810,1535,7764.545,mousemove,0,2430
